3972, 606601
606602, 1263299
664484, 1398341
742818, 1517411
787073, 1614313
841187, 1728142
904421, 1835767
951453, 1931892
1002306, 2043491
1064519, 2206047
1168675, 2365012
1224951, 2425914
1231337, 2545114
1346498, 2692546
1381702, 2759536
1416422, 2821083
1444129, 2867613
1466472, 2928269
1506545, 2999354
1539023, 3047895
1559192, 3069550
1563025, 3114009
1605999, 3155907
1607562, 3160629
1612775, 3192684
1640497, 3224925
1648242, 3233460
1651086, 3236783
1653620, 3241336
1657691, 3244204
1659421, 3245644
1661477, 3249697
1665235, 3256823
1670656, 3297481
1709413, 3353763
1729578, 3405715
1763419, 3467607
1792644, 3520466
1820092, 3575788
1849431, 3635161
4029, 606188
606189, 1263772
664490, 1399438
744202, 1518421
787286, 1613964
841212, 1726420
902969, 1849758
964843, 1945092
1002703, 2043268
1064486, 2206288
1168657, 2365264
1224928, 2425902
1231055, 2546301
1347381, 2692715
1381574, 2759775
1416495, 2819768
1443620, 2867765
1466546, 2948309
1526804, 3016190
1537360, 3046435
1559103, 3069284
1562555, 3112868
1604741, 3155712
1607452, 3162736
1614112, 3192800
1640156, 3223065
1645844, 3231799
1650943, 3237333
1653724, 3239589
1656720, 3243325
1658926, 3247041
1662783, 3250711
1665530, 3254613
1668738, 3295779
1709042, 3354498
1729511, 3407167
1764351, 3465426
1791584, 3521055
1820566, 3574986
1849035, 3636358
4054, 606477
606479, 1266257
666978, 1399252
742114, 1517337
787117, 1613347
840471, 1728010
903246, 1833597
948992, 1930795
1002497, 2042987
1064118, 2206142
1168585, 2365628
1225070, 2425425
1231316, 2548571
1349683, 2694848
1381703, 2760079
1417257, 2821671
1445056, 2868410
1466928, 2928956
1507656, 2997321
1536172, 3045864
1558840, 3070453
1562520, 3113107
1604722, 3156436
1607609, 3160714
1613107, 3192392
1640167, 3225594
1648655, 3233550
1651349, 3235952
1653698, 3241672
1658242, 3246800
1662347, 3252547
1667508, 3259294
1672615, 3263771
1674331, 3299989
1709127, 3354714
1729935, 3405865
1763505, 3466902
1792732, 3520364
1820487, 3574970
1848805, 3636161
4301, 605526
605529, 1270026
670817, 1402129
742033, 1519655
788636, 1613696
840474, 1728609
904135, 1833606
948992, 1930683
1002092, 2042351
1063006, 2206166
1168254, 2365680
1224867, 2426419
1231339, 2544855
1346530, 2691464
1380882, 2759554
1416380, 2820788
1443582, 2867531
1466057, 2936070
1513881, 3007925
1540845, 3049293
1559062, 3069221
1562240, 3113726
1604740, 3156008
1607456, 3162531
1614196, 3192384
1640242, 3224027
1647306, 3233279
1651254, 3236153
1653701, 3241350
1658211, 3245047
1660331, 3247573
1662790, 3250482
1665587, 3256056
1670417, 3297160
1709039, 3354822
1729545, 3405976
1763419, 3465957
1791581, 3521511
1820732, 3574912
1849088, 3635333
4637, 606501
606502, 1268492
669484, 1401091
742034, 1519005
788278, 1613634
840477, 1727194
903011, 1836368
951704, 1932471
1002928, 2042052
1063338, 2208088
1170724, 2366561
1225331, 2425745
1232255, 2543355
1345288, 2691113
1380600, 2761176
1417403, 2821179
1444710, 2867523
1466095, 2947339
1525405, 3014551
1536827, 3045970
1558878, 3070007
1562330, 3113861
1605079, 3155210
1607492, 3162274
1614197, 3193005
1641157, 3225358
1648309, 3233153
1651005, 3237283
1653906, 3240357
1657892, 3245021
1660331, 3247852
1663069, 3249956
1665369, 3257743
1671735, 3298415
1709561, 3353066
1729027, 3406338
1763419, 3467592
1792628, 3522311
1821365, 3575198
1849035, 3635828
4650, 608733
608736, 1267959
667303, 1399884
742715, 1517983
787455, 1613105
840477, 1728409
904226, 1835532
951120, 1931931
1002092, 2042549
1063205, 2206345
1168528, 2365785
1224991, 2426369
1232045, 2543422
1345271, 2691543
1380753, 2759767
1416428, 2819823
1443450, 2869303
1467374, 2946477
1525025, 3013806
1536169, 3046645
1559330, 3068838
1562469, 3113526
1604899, 3155495
1607371, 3162446
1613610, 3192002
1639567, 3224895
1647969, 3233611
1651217, 3236529
1653820, 3241072
1658399, 3244948
1660631, 3247437
1662941, 3250429
1665676, 3253752
1668611, 3296478
1709281, 3354757
1730117, 3406091
1764135, 3466548
1792628, 3520971
1820025, 3575150
1848567, 3636632
4950, 609320
609321, 1264413
663466, 1396875
742076, 1517219
786744, 1614523
841139, 1727358
903393, 1833402
949236, 1931251
1003002, 2041902
1063701, 2206119
1168685, 2364975
1225197, 2425004
1231354, 2543527
1345480, 2691390
1380978, 2759402
1416425, 2820602
1443938, 2867362
1466118, 2948767
1527104, 3014979
1536144, 3046500
1558917, 3072936
1565514, 3114877
1604671, 3156389
1607319, 3163190
1614112, 3194520
1641876, 3226842
1649661, 3234603
1651983, 3237344
1654749, 3240458
1657444, 3244023
1659193, 3245213
1660981, 3250154
1665601, 3254037
1668677, 3296597
1709629, 3353837
1730024, 3405738
1763582, 3466658
1792705, 3518965
1818822, 3574709
1849037, 3636794
5027, 606055
606056, 1265489
666047, 1399446
742946, 1516916
786744, 1613723
840633, 1727019
903267, 1835710
951377, 1932745
1002942, 2041760
1063325, 2207379
1169734, 2365698
1225165, 2425578
1231667, 2543868
1345801, 2691051
1380611, 2761391
1417901, 2820130
1443457, 2868562
1466919, 2935533
1513948, 3003206
1536353, 3045956
1559044, 3069978
1562721, 3112988
1604988, 3155048
1607128, 3159364
1610184, 3191153
1641264, 3225519
1648656, 3233059
1651151, 3235967
1653031, 3239546
1656197, 3242872
1658703, 3245445
1661117, 3249078
1664682, 3254355
1668448, 3296649
1709323, 3353821
1729433, 3406779
1763748, 3465987
1792161, 3521015
1820242, 3574875
1848662, 3638258
1883169, 3671442
1886115, 3673756
1888417, 3676113
1890525, 3678302
1892660, 3680946
1895222, 3682679
1897032, 3684187
1899371, 3686174
1901366, 3688691
1903941, 3691477
1906206, 3695028
1909251, 3698944
1912469, 3701641
1914294, 3703024
1916200, 3704454
1918070, 3706682
1920775, 3709441
1922883, 3728592
1942858, 3744551
1945883, 3747284
1947937, 3750160
1949933, 3752744
1953161, 3754173
1954295, 3756925
1957379, 3760439
1961329, 3764098
1963679, 3765617
1965196, 3768063
1968470, 3771442
1971216, 3773782
1973157, 3775426
1975206, 3777025
1977103, 3779359
1979007, 3782388
1981012, 3792935
1990433, 3803487
1993324, 3804025
1995078, 3805752
1996811, 3807044
1998717, 3810304
1883280, 3671699
1886554, 3674882
1889690, 3676765
1891664, 3680737
1895128, 3682686
1896841, 3684400
1898601, 3686374
1900869, 3688425
1902999, 3690905
1905695, 3693704
1908144, 3697715
1911174, 3700309
1913085, 3701712
1915217, 3703541
1917553, 3705613
1919342, 3706536
1921118, 3708728
1923293, 3726108
1941138, 3741223
1942808, 3744573
1945661, 3747925
1948507, 3750261
1950343, 3751517
1952698, 3753988
1954281, 3757148
1957323, 3758758
1959411, 3762318
1962057, 3764042
1963776, 3765970
1965743, 3767948
1968103, 3770155
1969708, 3772489
1972197, 3775030
1974596, 3777050
1977150, 3791014
1990907, 3801975
1993098, 3804603
1995002, 3805840
1996682, 3807368
1998583, 3810435
1883438, 3671241
1886231, 3674509
1889347, 3677053
1892001, 3680880
1895228, 3682847
1897489, 3684530
1899550, 3685852
1901451, 3688825
1904283, 3692954
1908220, 3697267
1911236, 3699713
1913013, 3701542
1914825, 3703052
1916577, 3704686
1918218, 3707027
1921265, 3708520
1923230, 3710635
1925434, 3725400
1939462, 3739575
1941076, 3741807
1943161, 3744506
1946414, 3748085
1948794, 3749849
1949938, 3751731
1952437, 3754745
1954418, 3755710
1956629, 3761261
1961142, 3764430
1963024, 3765761
1964820, 3767781
1967392, 3770014
1969398, 3772042
1971768, 3774601
1974010, 3776713
1976226, 3791455
1990805, 3802670
1993308, 3804418
1995194, 3805692
1997222, 3807084
1998933, 3809851
1883501, 3670759
1885980, 3674152
1888361, 3676809
1890983, 3678843
1893035, 3680883
1895370, 3682233
1897025, 3684468
1899365, 3687471
1902375, 3690244
1905365, 3694314
1908791, 3697082
1910774, 3700341
1912929, 3702292
1915365, 3703486
1917643, 3705373
1919306, 3706841
1920872, 3709021
1922659, 3721474
1935379, 3733020
1937723, 3736888
1939542, 3739555
1941270, 3741394
1943140, 3742235
1943872, 3746264
1948049, 3749952
1949905, 3753287
1953438, 3754740
1955172, 3756683
1957434, 3760075
1961204, 3764011
1963130, 3765338
1964878, 3767976
1968114, 3770653
1970491, 3773293
1973098, 3791097
1990642, 3802321
1992829, 3804201
1994577, 3805793
1996473, 3807677
1998221, 3809873
1883560, 3670525
1885980, 3674352
1888561, 3678164
1892725, 3680296
1894800, 3683210
1896813, 3684796
1898732, 3686814
1901470, 3688546
1904279, 3691978
1906955, 3696665
1910432, 3700072
1912710, 3701769
1914475, 3703536
1916824, 3705194
1918772, 3707045
1921022, 3708353
1922720, 3710685
1924821, 3726976
1941065, 3741933
1943004, 3744835
1946313, 3747917
1948434, 3750400
1950262, 3751712
1952679, 3754373
1954390, 3756298
1956951, 3760771
1960917, 3764554
1963080, 3765542
1964839, 3767801
1967685, 3770368
1969754, 3772060
1972310, 3774463
1974503, 3776855
1976755, 3779532
1978941, 3792110
1990506, 3802445
1992797, 3804527
1994640, 3805644
1996554, 3808034
1998790, 3809591
1883699, 3671256
1886866, 3673954
1888743, 3676422
1891094, 3678775
1893150, 3680455
1895121, 3683048
1896916, 3684789
1899208, 3686427
1901194, 3688446
1903281, 3693391
1908192, 3697136
1910840, 3699954
1912770, 3701657
1914596, 3703963
1917423, 3706064
1919337, 3706666
1920959, 3709089
1922934, 3723264
1938067, 3738094
1940697, 3741291
1942437, 3744375
1945540, 3749259
1949669, 3750663
1950758, 3753030
1954088, 3756694
1956769, 3759059
1959093, 3762287
1962051, 3764971
1964417, 3767671
1967097, 3769843
1969230, 3772798
1972105, 3775080
1974445, 3785170
1984835, 3792424
1986979, 3797729
1990433, 3802444
1992575, 3804512
1994554, 3806371
1996780, 3807167
1998578, 3810151
1884720, 3672217
1887098, 3674191
1889334, 3677687
1892355, 3680526
1894813, 3683076
1896958, 3684217
1898888, 3686340
1901135, 3689564
1904164, 3693182
1907981, 3698272
1911307, 3699797
1913319, 3701123
1914980, 3704136
1917799, 3706933
1921003, 3708818
1922912, 3710289
1924821, 3712689
1927070, 3736650
1949370, 3752633
1952439, 3754644
1954609, 3756165
1957186, 3760980
1961184, 3763198
1962043, 3765263
1964424, 3767347
1967062, 3770131
1969258, 3771904
1971476, 3773946
1973353, 3775199
1975076, 3777020
1976935, 3779561
1979083, 3781825
1980666, 3784685
1982236, 3788229
1984798, 3796133
1990433, 3803013
1992557, 3804576
1994343, 3806238
1996565, 3807324
1998363, 3810414
1885386, 3672576
1887085, 3674188
1889052, 3676493
1891151, 3679256
1893867, 3681897
1896139, 3683364
1897681, 3684276
1899397, 3685880
1901338, 3688418
1903402, 3693058
1908032, 3697911
1911188, 3700193
1913248, 3701558
1915192, 3703790
1917534, 3705717
1919173, 3707787
1921657, 3708887
1923499, 3724589
1939707, 3740323
1942165, 3742609
1943753, 3745917
1947527, 3749605
1949494, 3750182
1950157, 3752569
1953348, 3754981
1955209, 3756259
1957266, 3760815
1961232, 3763798
1963183, 3765155
1964935, 3767317
1967693, 3770048
1969718, 3772279
1972272, 3774358
1974143, 3776760
1976434, 3791467
1990903, 3802303
1993137, 3804482
1995136, 3805738
1997032, 3807224
1998969, 3809640
2001017, 3812421
2003119, 3813765
2004702, 3814693
2006395, 3816976
2009331, 3817502
2011027, 3818725
2012608, 3820129
2014485, 3821264
2016382, 3822648
2018216, 3824350
2020724, 3826895
2022521, 3827869
2024338, 3829519
2026225, 3831181
2028346, 3832360
2030045, 3833728
2031767, 3835573
2034236, 3848724
2047265, 3861275
2048841, 3864069
2050938, 3864892
2052891, 3866198
2054591, 3867232
2055391, 3872169
2061289, 3875987
2063902, 3879273
2066336, 3881303
2068572, 3882794
2070467, 3884464
2072882, 3886949
2075005, 3888597
2076877, 3890533
2078993, 3892935
2081334, 3894377
2083368, 3895134
2085317, 3898308
2087716, 3898573
2089396, 3900641
2090957, 3901847
2092949, 3903649
2001525, 3812837
2003316, 3813840
2004874, 3814752
